file_name,raw_text,label,audio_file
0015_001350,Six was half way down the room.,3,/home/nhut-minh-nguyen/Documents/EmoData/Emotion_Speech_Dataset/0015/Sad/0015_001350.wav
0018_001526,this turn goes to the hill.,4,/home/nhut-minh-nguyen/Documents/EmoData/Emotion_Speech_Dataset/0018/Surprise/0018_001526.wav
0016_001446,They'd never know I'd regular ran away.,4,/home/nhut-minh-nguyen/Documents/EmoData/Emotion_Speech_Dataset/0016/Surprise/0016_001446.wav
0018_000860,"Kitty, can you play chess?",2,/home/nhut-minh-nguyen/Documents/EmoData/Emotion_Speech_Dataset/0018/Happy/0018_000860.wav
0019_001173,I am from towel land.,3,/home/nhut-minh-nguyen/Documents/EmoData/Emotion_Speech_Dataset/0019/Sad/0019_001173.wav
0011_001522,Am I an absolute pauper?,4,/home/nhut-minh-nguyen/Documents/EmoData/Emotion_Speech_Dataset/0011/Surprise/0011_001522.wav
0011_000042,She may mind ye of her.,0,/home/nhut-minh-nguyen/Documents/EmoData/Emotion_Speech_Dataset/0011/Neutral/0011_000042.wav
0020_001506,I guess it's a choice feast.,4,/home/nhut-minh-nguyen/Documents/EmoData/Emotion_Speech_Dataset/0020/Surprise/0020_001506.wav
0014_001573,He searched through the box.,4,/home/nhut-minh-nguyen/Documents/EmoData/Emotion_Speech_Dataset/0014/Surprise/0014_001573.wav
0016_000712,Her shoes were like fishes.,2,/home/nhut-minh-nguyen/Documents/EmoData/Emotion_Speech_Dataset/0016/Happy/0016_000712.wav
0019_000678,It would be a hard choice.,1,/home/nhut-minh-nguyen/Documents/EmoData/Emotion_Speech_Dataset/0019/Angry/0019_000678.wav
0019_000186,She jump at the tail and bite it savagely.,0,/home/nhut-minh-nguyen/Documents/EmoData/Emotion_Speech_Dataset/0019/Neutral/0019_000186.wav
0017_000235,"If not, I shall go no further.",0,/home/nhut-minh-nguyen/Documents/EmoData/Emotion_Speech_Dataset/0017/Neutral/0017_000235.wav
0016_000497,And there you'll find a snap dragon fly.,1,/home/nhut-minh-nguyen/Documents/EmoData/Emotion_Speech_Dataset/0016/Angry/0016_000497.wav
0020_001278,It says no way! shouted Daisy.,3,/home/nhut-minh-nguyen/Documents/EmoData/Emotion_Speech_Dataset/0020/Sad/0020_001278.wav
0018_000755,A deafening chirruping rent the air.,2,/home/nhut-minh-nguyen/Documents/EmoData/Emotion_Speech_Dataset/0018/Happy/0018_000755.wav
0019_001137,A hippo lives in the zoo.,3,/home/nhut-minh-nguyen/Documents/EmoData/Emotion_Speech_Dataset/0019/Sad/0019_001137.wav
0017_000506,The eye could not catch them.,1,/home/nhut-minh-nguyen/Documents/EmoData/Emotion_Speech_Dataset/0017/Angry/0017_000506.wav
0011_001645,Do you think it's a woozle?,4,/home/nhut-minh-nguyen/Documents/EmoData/Emotion_Speech_Dataset/0011/Surprise/0011_001645.wav
